Manhattan_Steps,Manhattan_Time(s),AStar_Steps,AStar_Time(s),Price_Steps,Price_Time(s)
60,4.87e-03,24,5.11e-02,24,3.23e-02
60,5.22e-03,20,1.28e-02,20,8.14e-03
60,6.73e-03,18,7.15e-03,18,1.16e-02
60,1.46e-02,20,1.45e-02,20,1.37e-02
60,5.31e-03,22,8.60e-03,22,1.27e-02
61,4.15e-03,21,1.29e-02,21,1.54e-02
61,5.38e-03,19,1.09e-02,19,9.76e-03
61,5.39e-03,23,4.90e-02,23,1.63e-02
61,4.23e-03,21,1.79e-02,21,7.39e-03
61,4.39e-03,21,1.75e-02,21,1.71e-02
61,2.25e-03,23,3.36e-02,23,1.03e-02
61,6.35e-03,19,6.36e-03,19,1.52e-02
61,2.31e-03,27,2.32e-01,29,1.97e-01
61,5.17e-03,23,3.05e-02,23,4.17e-02
61,4.09e-03,21,1.35e-02,21,2.95e-02
61,6.12e-03,19,9.65e-03,19,5.21e-03
61,6.07e-03,27,2.61e-01,29,1.41e-01
